"DistrictCode","prefcity","JPCode","LocName","fX","fY","iConf","iLvl"
11232,埼玉県久喜市,42,"埼玉県/久喜市","139.66684","36.06206","5","3"
11233,埼玉県北本市,4,"埼玉県/北本市","139.53540","36.01285","5","3"
11234,埼玉県八潮市,37,"埼玉県/八潮市","139.83917","35.82254","5","3"
11236,埼玉県上福岡市,8,"埼玉県/上福岡市","139.51982","35.87939","5","3"
11237,埼玉県三郷市,10,"埼玉県/三郷市","139.87225","35.83013","5","3"
11239,埼玉県坂戸市,7,"埼玉県/坂戸市","139.40298","35.95726","5","3"
11241,埼玉県鶴ヶ島市,21,"埼玉県/鶴ヶ島市","139.39313","35.93452","5","3"
11242,埼玉県日高市,16,"埼玉県/日高市","139.33914","35.90775","5","3"
11243,埼玉県吉川市,21,"埼玉県/吉川市","139.84132","35.89112","5","3"
11245,埼玉県ふじみ野市,13,"埼玉県/ふじみ野市","139.51982","35.87939","5","3"
11246,埼玉県白岡市,16,"埼玉県/白岡市","139.65463","36.01309","5","3"
11301,埼玉県伊奈町,7,"埼玉県/伊奈町","139.62387","35.99987","5","0"
11304,埼玉県吹上町,4,"埼玉県/吹上町","139.44272","36.10654","5","0"
11324,埼玉県三芳町,52,"埼玉県/三芳町","139.52652","35.82835","5","0"
11342,埼玉県嵐山町,16,"埼玉県/嵐山町","139.32051","36.05657","5","0"
11343,埼玉県小川町,11,"埼玉県/小川町","139.26180","36.05666","5","0"
11345,埼玉県玉川村,5,"埼玉県","139.64551","35.86152","3","1"
11346,埼玉県川島町,16,"埼玉県/川島町","139.48152","35.98204","5","0"
11347,埼玉県吉見町,3,"埼玉県/吉見町","139.45374","36.03985","5","0"
11382,埼玉県児玉町,3,"埼玉県/児玉町","139.08031","36.15948","5","0"
11383,埼玉県神川町,7,"埼玉県","139.64551","35.86152","3","1"
11407,埼玉県花園町,3,"埼玉県/花園町","139.25343","36.13753","5","0"
11421,埼玉県騎西町,5,"埼玉県/騎西町","139.59222","36.08038","5","0"
11425,埼玉県大利根町,3,"埼玉県/大利根町","139.65784","36.13354","5","0"
11442,埼玉県宮代町,1,"埼玉県/宮代町","139.72307","36.02259","5","0"
11445,埼玉県白岡町,5,"埼玉県/白岡","139.65463","36.01309","5","3"
11446,埼玉県菖蒲町,11,"埼玉県/菖蒲町","139.63631","36.05893","5","0"
11462,埼玉県鷲宮町,4,"埼玉県/鷲宮町","139.68370","36.08345","5","0"
12101,千葉県千葉市中央区,20,"千葉県/千葉市/中央区","140.12459","35.60900","5","4"
12102,千葉県千葉市花見川区,26,"千葉県/千葉市/花見川区","140.06906","35.66288","5","4"
12103,千葉県千葉市稲毛区,33,"千葉県/千葉市/稲毛区","140.10710","35.63620","5","4"
12104,千葉県千葉市若葉区,5,"千葉県/千葉市/若葉区","140.15565","35.63401","5","4"
12105,千葉県千葉市緑区,4,"千葉県/千葉市/緑区","140.17615","35.56050","5","4"
12106,千葉県千葉市美浜区,194,"千葉県/千葉市/美浜区","140.06303","35.64055","5","4"
12201,千葉県,4,"千葉県","140.10638","35.60733","3","1"
12202,千葉県銚子市,9,"千葉県/銚子市","140.82680","35.73467","5","3"
12203,千葉県市川市,80,"千葉県/市川市","139.93102","35.72191","5","3"
12204,千葉県船橋市,65,"千葉県/船橋市","139.98262","35.69471","5","3"
12205,千葉県館山市,6,"千葉県/館山市","139.87009","34.99661","5","3"
12207,千葉県松戸市,100,"千葉県/松戸市","139.90323","35.78765","5","3"
12208,千葉県野田市,49,"千葉県/野田市","139.87483","35.95510","5","3"
12210,千葉県茂原市,45,"千葉県/茂原市","140.28806","35.42854","5","3"
12211,千葉県成田市,24,"千葉県/成田市","140.31879","35.77660","5","3"
12212,千葉県佐倉市,8,"千葉県/佐倉市","140.22397","35.72344","5","3"
12216,千葉県習志野市,57,"千葉県/習志野市","140.02438","35.68293","5","3"
12217,千葉県柏市,93,"千葉県/柏市","139.97620","35.86829","5","3"
12219,千葉県市原市,31,"千葉県/市原市","140.11560","35.49790","5","3"
12220,千葉県流山市,16,"千葉県/流山市","139.90259","35.85629","5","3"
12221,千葉県八千代市,16,"千葉県/八千代市","140.09991","35.72238","5","3"
12222,千葉県我孫子市,6,"千葉県/我孫子市","140.02823","35.86416","5","3"
12224,千葉県鎌ケ谷市,2,"千葉県/鎌ケ谷市","140.00073","35.77676","5","3"
12227,千葉県浦安市,26,"千葉県/浦安市","139.90219","35.65399","5","3"
12229,千葉県袖ケ浦市,20,"千葉県/袖ケ浦市","139.95435","35.42995","5","3"
12232,千葉県白井市,5,"千葉県/白井市","140.05637","35.79150","5","3"
12233,千葉県富里市,1,"千葉県/富里市","140.34308","35.72681","5","3"
12235,千葉県匝瑳市,1,"千葉県/匝瑳市","140.56436","35.70791","5","3"
12237,千葉県山武市,1,"千葉県/山武市","140.41353","35.60299","5","3"
12303,千葉県,2,"千葉県","140.10638","35.60733","3","1"
12322,千葉県酒々井町,1,"千葉県/酒々井町","140.26949","35.72475","5","0"
12405,千葉県山武町,8,"千葉県/山武","140.41353","35.60299","5","3"
12426,千葉県長柄町,9,"千葉県/長柄町","140.22707","35.43115","5","0"
13101,東京都千代田区,7848,"東京都/千代田区","139.75363","35.69400","5","3"
13102,東京都中央区,7121,"東京都/中央区","139.77200","35.67059","5","3"
13103,東京都港区,7376,"東京都/港区","139.75160","35.65807","5","3"
13104,東京都新宿区,2486,"東京都/新宿区","139.70346","35.69389","5","3"
13105,東京都文京区,692,"東京都/文京区","139.75247","35.70798","5","3"
13106,東京都台東区,966,"東京都/台東区","139.77998","35.71261","5","3"
13107,東京都墨田区,515,"東京都/墨田区","139.80150","35.71072","5","3"
13108,東京都江東区,916,"東京都/江東区","139.81737","35.67286","5","3"
13109,東京都品川区,2351,"東京都/品川区","139.73026","35.60907","5","3"
13110,東京都目黒区,553,"東京都/目黒区","139.69812","35.64141","5","3"
13111,東京都大田区,1185,"東京都/大田区","139.71599","35.56126","5","3"
13112,東京都世田谷区,346,"東京都/世田谷区","139.65321","35.64648","5","3"
13113,東京都渋谷区,2160,"東京都/渋谷区","139.69795","35.66398","5","3"
13114,東京都中野区,282,"東京都/中野区","139.66374","35.70727","5","3"
13115,東京都杉並区,118,"東京都/杉並区","139.63641","35.69955","5","3"
13116,東京都豊島区,649,"東京都/豊島区","139.71547","35.73244","5","3"
13117,東京都北区,284,"東京都/北区","139.73366","35.75280","5","3"
13118,東京都荒川区,204,"東京都/荒川区","139.78337","35.73608","5","3"
13119,東京都板橋区,381,"東京都/板橋区","139.70924","35.75124","5","3"
13120,東京都練馬区,169,"東京都/練馬区","139.65172","35.73560","5","3"
13121,東京都足立区,136,"東京都/足立区","139.80458","35.77494","5","3"
13122,東京都葛飾区,187,"東京都/葛飾区","139.84721","35.74343","5","3"
13123,東京都江戸川区,117,"東京都/江戸川区","139.86832","35.70665","5","3"
13201,東京都八王子市,229,"東京都/八王子市","139.31607","35.66657","5","3"
13202,東京都立川市,73,"東京都/立川市","139.40785","35.71398","5","3"
13203,東京都武蔵野市,133,"東京都/武蔵野市","139.56593","35.71784","5","3"
13204,東京都三鷹市,101,"東京都/三鷹市","139.55988","35.68331","5","3"
13205,東京都青梅市,50,"東京都/青梅市","139.27499","35.78817","5","3"
13206,東京都府中市,69,"東京都/府中市","139.47766","35.66892","5","3"
13207,東京都昭島市,137,"東京都/昭島市","139.35378","35.70570","5","3"
13208,東京都調布市,135,"東京都/調布市","139.54068","35.65063","5","3"
13209,東京都町田市,111,"東京都/町田市","139.43852","35.54656","5","3"
13210,東京都小金井市,1,"東京都/小金井市","139.50299","35.69948","5","3"
13211,東京都小平市,23,"東京都/小平市","139.47748","35.72850","5","3"
13212,東京都日野市,64,"東京都/日野市","139.39497","35.67135","5","3"
13213,東京都東村山市,7,"東京都/東村山市","139.46849","35.75462","5","3"
13214,東京都国分寺市,20,"東京都/国分寺市","139.46225","35.71094","5","3"
13215,東京都国立市,19,"東京都/国立市","139.44136","35.68391","5","3"
13218,東京都福生市,7,"東京都/福生市","139.32674","35.73860","5","3"
13219,東京都狛江市,50,"東京都/狛江市","139.57869","35.63482","5","3"
13220,東京都東大和市,27,"東京都/東大和市","139.42659","35.74533","5","3"
13221,東京都清瀬市,15,"東京都/清瀬市","139.52643","35.78576","5","3"
13222,東京都東久留米市,20,"東京都/東久留米市","139.52968","35.75799","5","3"
13223,東京都武蔵村山市,27,"東京都/武蔵村山市","139.38742","35.75491","5","3"
13224,東京都多摩市,79,"東京都/多摩市","139.44637","35.63696","5","3"
13225,東京都稲城市,52,"東京都/稲城市","139.50461","35.63794","5","3"
13226,東京都,2,"東京都","139.75363","35.69400","3","1"
13227,東京都羽村市,23,"東京都/羽村市","139.31104","35.76717","5","3"
13229,東京都西東京市,35,"東京都/西東京市","139.53816","35.72550","5","3"
13303,東京都瑞穂町,15,"東京都/瑞穂町","139.35405","35.77199","5","0"
13305,東京都日の出町,6,"東京都/日の出町","139.25740","35.74212","5","0"
14101,神奈川県横浜市鶴見区,157,"神奈川県/横浜市/鶴見区","139.68239","35.50840","5","4"
14102,神奈川県横浜市神奈川区,122,"神奈川県/横浜市/神奈川区","139.62929","35.47705","5","4"
14103,神奈川県横浜市西区,317,"神奈川県/横浜市/西区","139.61688","35.45361","5","4"
14104,神奈川県横浜市中区,230,"神奈川県/横浜市/中区","139.64220","35.44469","5","4"
