original_countryname,original_AddressAlph,original_address_id,original_group,lat,lon,formatted,name,housenumber,street,postcode,district,county_code,suburb,city,county,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
United Kingdom,"4th Fl.,6 Broadgate,London EC2M 2QS",968,3,51.51876663636364,-0.08360273636363637,"City of London, EC2M 2QS, United Kingdom",,,,EC2M 2QS,,,,City of London,Greater London,England,ENG,United Kingdom,gb,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.,71 Fenchurch St.,London,EC3M 4BS",969,3,51.51251,-0.07876,"City of London, EC3M 4BS, United Kingdom",,,,EC3M 4BS,,,,City of London,Greater London,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.,Atlas House,1 King St.,London,EC2V 8AU",970,3,51.5138761,-0.0921743,"1-7 King Street, City of London, EC2V 8AU, United Kingdom",,1-7,King Street,EC2V 8AU,,,Cheap,City of London,Greater London,England,ENG,United Kingdom,gb,0.81,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.,Bldg.3,Hyde Park Hayes,11 Millington Rd.,Hayes,UB3 4AZ",971,3,51.501164,-0.4273837,"Millington Road, London, UB3 4AZ, United Kingdom",Millington Road,,Millington Road,UB3 4AZ,London Borough of Hillingdon,,Hayes,London,Greater London,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.,Bucklersbury House 83 Cannon St.,London EC4N 8EL",972,3,51.5110734,-0.0874997,"Cannon Street, City of London, EC4N 5AJ, United Kingdom",Cannon Street,,Cannon Street,EC4N 5AJ,,,Cornhill,City of London,Greater London,England,ENG,United Kingdom,gb,0.5103,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.,Bucklersbury House 83 Cannon St.,London EC4N EL",973,3,51.511669,-0.061471,"83 Cannon Street Road, London, EC4 NEL, United Kingdom",,83,Cannon Street Road,EC4 NEL,Tower Hamlets,,Whitechapel,London,London,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.,Condor House,14 St.Paul's Churchyard,London EC4M 8BD",974,3,50.85879,-0.085098,"Flat 4, Brighton and Hove, BN1 9BL, United Kingdom",,,Flat 4,BN1 9BL,,ESX,Falmer,Brighton and Hove,East Sussex,England,ENG,United Kingdom,gb,0.26666666666666666,0.26666666666666666,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.,Crown House,143 Regent St.,London W1R 7LB",975,3,51.511283950000006,-0.13930629299270444,"Uno de 50, 143 Regent Street, London, W1B 4NR, United Kingdom",Uno de 50,143,Regent Street,W1B 4NR,St. James's,,Mayfair,London,Greater London,England,ENG,United Kingdom,gb,0.27,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.,Dorland House,20 Regent St.,London SW1Y 4PH",976,3,51.50912,-0.13369,"London, SW1Y 4PH, United Kingdom",,,,SW1Y 4PH,,,,London,Greater London,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.,Dorland House,20 Regent St.,London,SW1Y 4PH",977,3,51.50912,-0.13369,"London, SW1Y 4PH, United Kingdom",,,,SW1Y 4PH,,,,London,Greater London,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.,Durrant House,8-13 Chiswell St.,London EC1Y 4TQ",978,3,51.5207356,-0.089821,"Chiswell Street, London, EC1Y 4YY, United Kingdom",Chiswell Street,,Chiswell Street,EC1Y 4YY,London Borough of Islington,,Finsbury,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.,Garrard House,31/45,Gresham St.,London EC2V 7DN",979,3,51.5150805,-0.0919733,"Gresham Street, City of London, EC2V 8EG, United Kingdom",Gresham Street,,Gresham Street,EC2V 8EG,,,Cheap,City of London,Greater London,England,ENG,United Kingdom,gb,0.5103,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.,Hyde Park Hayes-Bldg.3,11 Millington Rd.,Hayes,Middlesex,UB3 4AZ",980,3,51.501164,-0.4273837,"Millington Road, London, UB3 4AZ, United Kingdom",Millington Road,,Millington Road,UB3 4AZ,London Borough of Hillingdon,,Hayes,London,Greater London,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.,Imperial House,15-19 Kingsway,London WC2 6UU",981,3,51.5137293,-0.1182326,"Coco di Mama, 15-19 Kingsway, London, WC2B 6UN, United Kingdom",Coco di Mama,15-19,Kingsway,WC2B 6UN,London Borough of Camden,,Holborn,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.,Int'l Bldg.,71 Kingsway,London,WC2B 6ST",982,3,51.5163189,-0.1194997,"Kingsway, London, WC2B 6DX, United Kingdom",Kingsway,,Kingsway,WC2B 6DX,London Borough of Camden,,Holborn,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.,Moorgate Hall 155,Moorgate,London EC2M 6UB",983,3,51.5187729,-0.0881274,"Mace, 155 Moorgate, City of London, EC2M 6XB, United Kingdom",Mace,155,Moorgate,EC2M 6XB,City of London,,Barbican,City of London,Greater London,England,ENG,United Kingdom,gb,0.5103000000000001,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.,Moorgate Hall 155,Moorgate,London EC2M 6XB",984,3,51.5187729,-0.0881274,"Mace, 155 Moorgate, City of London, EC2M 6XB, United Kingdom",Mace,155,Moorgate,EC2M 6XB,,,Barbican,City of London,Greater London,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.,Moorgate Hall,155 Moorgate,London EC2M 6UB",985,3,51.5187729,-0.0881274,"Mace, 155 Moorgate, City of London, EC2M 6XB, United Kingdom",Mace,155,Moorgate,EC2M 6XB,City of London,,Barbican,City of London,Greater London,England,ENG,United Kingdom,gb,0.5103000000000001,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.,Moorgate Hall,155 Moorgate,London EC2M 6XB",986,3,51.5187729,-0.0881274,"Mace, 155 Moorgate, City of London, EC2M 6XB, United Kingdom",Mace,155,Moorgate,EC2M 6XB,,,Barbican,City of London,Greater London,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.,Moorgate Hall,155 Moorgate,London EC2M,6XB",987,3,51.5187729,-0.0881274,"Mace, 155 Moorgate, City of London, EC2M 6XB, United Kingdom",Mace,155,Moorgate,EC2M 6XB,City of London,,Barbican,City of London,Greater London,England,ENG,United Kingdom,gb,0.5103000000000001,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.,Regal House,London Rd.,Twickenham,Middlesex TW1 3QS",988,3,51.4507032,-0.3317195,"London Road, London, TW1 1EE, United Kingdom",London Road,,London Road,TW1 1EE,London Borough of Richmond upon Thames,,Twickenham,London,Greater London,England,ENG,United Kingdom,gb,0.44099999999999995,0.7,0.7,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.,Salisbury House London Wall,London,EC2M 5QQ",989,3,51.479086,-0.146414,"Salisbury House, 5 Palmer Road, London, SW11 4FX, United Kingdom",Salisbury House,5,Palmer Road,SW11 4FX,Wandsworth,,Nine Elms,London,London,England,ENG,United Kingdom,gb,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.,Salisbury House,London Wall,London,EC2M 5QQ",990,3,51.479086,-0.146414,"Salisbury House, 5 Palmer Road, London, SW11 4FX, United Kingdom",Salisbury House,5,Palmer Road,SW11 4FX,Wandsworth,,Nine Elms,London,London,England,ENG,United Kingdom,gb,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.,St.Martins Court,10 Paternoster Row,London,EC4M 7BB",991,3,51.5146643,-0.0984702,"Paternoster Row, City of London, EC4M 7DX, United Kingdom",Paternoster Row,,Paternoster Row,EC4M 7DX,,,Cheap,City of London,Greater London,England,ENG,United Kingdom,gb,0.5103,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.,Standon House,21 Mansell St.,London E1 8AA",992,3,51.5137767,-0.0732525,"Pret A Manger, 21 Mansell Street, London, E1 8AA, United Kingdom",Pret A Manger,21,Mansell Street,E1 8AA,London Borough of Tower Hamlets,,Whitechapel,London,Greater London,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.,Temple Court,11 Queen Victoria St.,London EC4N 4TA",993,3,51.5122676,-0.0940659,"Queen Victoria Street, City of London, EC4N 4UA, United Kingdom",Queen Victoria Street,,Queen Victoria Street,EC4N 4UA,,,Vintry,City of London,Greater London,England,ENG,United Kingdom,gb,0.5103,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.,Trigate 210-222 Hagley Rd. West Birmingham,B68 ONP",994,3,52.4617887,-2.0084653,"Hagley Road West, Birmingham, B68 0QA, United Kingdom",Hagley Road West,,Hagley Road West,B68 0QA,,,,Birmingham,West Midlands Combined Authority,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.,West Block 11 Moorfield,High Walk,London EC2Y 9DE",995,3,51.5929994,-0.1063191,"Walk n Talk, High Road, London, N22 6HH, United Kingdom",Walk n Talk,,High Road,N22 6HH,Hornsey Park,,Harringay,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.,West Block 11 Moorfields,High Walk,London EC2Y 9DE",996,3,51.5929994,-0.1063191,"Walk n Talk, High Road, London, N22 6HH, United Kingdom",Walk n Talk,,High Road,N22 6HH,Hornsey Park,,Harringay,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.(North)Suite,Warnick House,65/66 Queen St.,London EC4R 1EB",997,3,51.5111509,-0.0928922,"Queen Street, City of London, EC4R 1EB, United Kingdom",Queen Street,,Queen Street,EC4R 1EB,,,Vintry,City of London,Greater London,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.(North)Suite,Warnick House,65/66 Queen St.,London EC4R IEB",998,3,51.5118038,-0.0927867,"Queen Street, City of London, EC4R 1BR, United Kingdom",Queen Street,,Queen Street,EC4R 1BR,,,Vintry,City of London,Greater London,England,ENG,United Kingdom,gb,0.5103,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.(North)Suite,Warnick House,65/66 Queen St.,London,EC4R 1EB",999,3,51.5111509,-0.0928922,"Queen Street, City of London, EC4R 1EB, United Kingdom",Queen Street,,Queen Street,EC4R 1EB,,,Vintry,City of London,Greater London,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.(North)Suite,Warnick House,65/66 Queen St.,London,EC4R 1ED",1000,3,51.5118038,-0.0927867,"Queen Street, City of London, EC4R 1BR, United Kingdom",Queen Street,,Queen Street,EC4R 1BR,,,Vintry,City of London,Greater London,England,ENG,United Kingdom,gb,0.5103,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.(North)Suite,Warnick House,65166 Queen St.,London EC4R IEB",1001,3,51.513216,-0.092404,"Queen Street, London, EC4R IEB, United Kingdom",,,Queen Street,EC4R IEB,City of London,,Cheapside,London,London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.(North)Suite,Warwick House,65-66 Queen St.,London,EC4R 1EB",1002,3,51.5111509,-0.0928922,"Queen Street, City of London, EC4R 1EB, United Kingdom",Queen Street,,Queen Street,EC4R 1EB,,,Vintry,City of London,Greater London,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.(North)Suite,Warwick House,65/66 Queen St.,London,EC4R 1EB",1003,3,51.5111509,-0.0928922,"Queen Street, City of London, EC4R 1EB, United Kingdom",Queen Street,,Queen Street,EC4R 1EB,,,Vintry,City of London,Greater London,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.27 Throgmorton St.,London EC 2",1004,3,51.515032399999996,-0.08596956644210293,"Abokado, 27 Throgmorton Street, City of London, EC2N 2AQ, United Kingdom",Abokado,27,Throgmorton Street,EC2N 2AQ,,,Cornhill,City of London,Greater London,England,ENG,United Kingdom,gb,0.7290000000000001,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.27 Throgmorton St.,London EC2",1005,3,51.515032399999996,-0.08596956644210293,"Abokado, 27 Throgmorton Street, City of London, EC2N 2AQ, United Kingdom",Abokado,27,Throgmorton Street,EC2N 2AQ,City of London,,Cornhill,City of London,Greater London,England,ENG,United Kingdom,gb,0.5103000000000001,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.27 Throgmorton St.,London EC2N 2AQ",1006,3,51.515032399999996,-0.08596956644210293,"Abokado, 27 Throgmorton Street, City of London, EC2N 2AQ, United Kingdom",Abokado,27,Throgmorton Street,EC2N 2AQ,,,Cornhill,City of London,Greater London,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.27 Throgmorton St.,London,EC2N 2AQ",1007,3,51.515032399999996,-0.08596956644210293,"Abokado, 27 Throgmorton Street, City of London, EC2N 2AQ, United Kingdom",Abokado,27,Throgmorton Street,EC2N 2AQ,,,Cornhill,City of London,Greater London,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.Bow Bells House Bread St.,London EC4M 9BQ",1008,3,51.5138641,-0.0945893,"Bread Street, City of London, EC4M 9BE, United Kingdom",Bread Street,,Bread Street,EC4M 9BE,,,Cheap,City of London,Greater London,England,ENG,United Kingdom,gb,0.5103,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,4th Fl.Bow Bells House Bread St.London EC4M 9BQ,1009,3,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,"4th Fl.Greenly House,40 Dukes Place,London EC3A 7LP",1010,3,51.514532,-0.077848,"40 Dukes Place, London, EC3A 7LP, United Kingdom",,40,Dukes Place,EC3A 7LP,City of London,,Aldgate,London,London,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.Holborn House,52-54 High Holborn,London WC1V 6RL",1011,3,51.5174847,-0.1212578,"High Holborn, London, WC1V 7EP, United Kingdom",High Holborn,,High Holborn,WC1V 7EP,London Borough of Camden,,Holborn,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th.Fl.,Condor House,14 St.Paul's Churchyard,London EC4M 8BD",1012,3,51.533343,-0.192736,"Condor House, London, NW6 5GJ, United Kingdom",,,Condor House,NW6 5GJ,Brent,,Queen's Park,London,London,England,ENG,United Kingdom,gb,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th.Fl.,Imperial House,15-19 Kingsway,London WC2 6UU",1013,3,51.5137293,-0.1182326,"Coco di Mama, 15-19 Kingsway, London, WC2B 6UN, United Kingdom",Coco di Mama,15-19,Kingsway,WC2B 6UN,London Borough of Camden,,Holborn,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th.Fl.Condor House,14 St.Paul's Churchyard,London EC4M 8BD",1014,3,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,"5 Chancery Lane,Clifford's INN London EC4A 1BV",1015,3,51.5143972,-0.1108839,"SNR Denton, 5 Chancery Lane, City of London, EC4A 2LT, United Kingdom",SNR Denton,5,Chancery Lane,EC4A 2LT,,,Blackfriars,City of London,Greater London,England,ENG,United Kingdom,gb,0.5103000000000001,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"5 Chancery Lane,London WC2A 1LG",1016,3,51.5144762,-0.1108739,"Orega Chancery Lane, 5 Chancery Lane, City of London, WC2A 1LG, United Kingdom",Orega Chancery Lane,5,Chancery Lane,WC2A 1LG,,,Blackfriars,City of London,Greater London,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"5 Clarendon Drive,Wymbush,Milton Keynes,MK8 8DA",1017,3,52.040468,-0.7956472,"Clarendon drive, Milton Keynes, MK8 8DA, United Kingdom",Clarendon drive,,Clarendon drive,MK8 8DA,Abbey Hill,,Wymbush,Milton Keynes,City of Milton Keynes,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"5 Clifton Court.Cornerhall,Hemel Hempstead,Hertfordshire HP3 9XY",1018,3,51.7432769,-0.471961,"Dacorum, HP3 9XY, United Kingdom",,,,HP3 9XY,,HRT,,Dacorum,Hertfordshire,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"5 Davy Way,Llay Ind.Estate,Llay,Wrexham LL12 0PG",1019,3,53.1028991,-3.0113806,"Davy Way, Llay, LL12 0PG, United Kingdom",Davy Way,,Davy Way,LL12 0PG,Llay Community,WRX,Llay,Llay,Wrexham,Wales,WLS,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"5 Didcot Way,Boldon Business Park,Boldon,Tyne & Wear,NE35 9PD",1020,3,54.9439142,-1.4636487,"Didcot Way, South Tyneside, NE35 9PD, United Kingdom",Didcot Way,,Didcot Way,NE35 9PD,,,Boldon Colliery,South Tyneside,Tyne and Wear,England,ENG,United Kingdom,gb,0.45,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"5 Fleet Place,London",1021,3,51.5161332,-0.1032709,"5 Fleet Place, City of London, EC4M 7RF, United Kingdom",,5,Fleet Place,EC4M 7RF,West Smithfield,,Blackfriars,City of London,London,England,ENG,United Kingdom,gb,0.7290000000000001,0.81,0.81,,,
United Kingdom,5 Galea Close Amington Heights Tamworth B77 4AS,1022,3,52.6345819,-1.6948438,"Tamworth, ENG, United Kingdom",,,,,,STS,,Tamworth,Staffordshire,England,ENG,United Kingdom,gb,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"5 Galea Close Amington Heights,Tamworth B77 4AS",1023,3,52.6345819,-1.6948438,"Tamworth, ENG, United Kingdom",,,,,,STS,,Tamworth,Staffordshire,England,ENG,United Kingdom,gb,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"5 Galea Close Amington Heights,Tamworth,B77 4AS",1024,3,52.6345819,-1.6948438,"Tamworth, ENG, United Kingdom",,,,,,STS,,Tamworth,Staffordshire,England,ENG,United Kingdom,gb,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"5 Grove Park,Mill Lane,Alton,Hampshire,GU34 2QG",1025,3,51.1530171,-0.9620847,"Alton (East Hampshire), GU34 2QG, United Kingdom",,,,GU34 2QG,,HAM,,East Hampshire,Hampshire,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"5 King William St.,London EC4N 7AX",1026,3,51.5112826,-0.087128,"King William Street, City of London, EC4N 7HR, United Kingdom",King William Street,,King William Street,EC4N 7HR,,,Cornhill,City of London,Greater London,England,ENG,United Kingdom,gb,0.5103,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"5 King William St.,London EC4N 7DA",1027,3,51.51203,-0.08818,"City of London, EC4N 7DA, United Kingdom",,,,EC4N 7DA,,,,City of London,Greater London,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"5 King William St.,London EC4N 7JB",1028,3,51.5112826,-0.087128,"King William Street, City of London, EC4N 7HR, United Kingdom",King William Street,,King William Street,EC4N 7HR,,,Cornhill,City of London,Greater London,England,ENG,United Kingdom,gb,0.5103,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"5 King William St.,London,EC4N 7AX",1029,3,51.5112826,-0.087128,"King William Street, City of London, EC4N 7HR, United Kingdom",King William Street,,King William Street,EC4N 7HR,,,Cornhill,City of London,Greater London,England,ENG,United Kingdom,gb,0.5103,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"5 King William St.,London,EC4N 7JB",1030,3,51.5112826,-0.087128,"King William Street, City of London, EC4N 7HR, United Kingdom",King William Street,,King William Street,EC4N 7HR,,,Cornhill,City of London,Greater London,England,ENG,United Kingdom,gb,0.5103,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
