original_countryname,original_AddressAlph,original_address_id,original_group,lat,lon,formatted,housenumber,name,street,postcode,district,suburb,county_code,city,county,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
United Kingdom,"Daifuku House,Waterside Dr.,Langley Business Park,Langley,Slough,SL3 6EZ",1955,5,51.508551,-0.546362,"Slough, SL3 6EZ, United Kingdom",,SL3 6EZ,,SL3 6EZ,,,SLG,Slough,Slough,,,United Kingdom,gb,0.6,1,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
United Kingdom,"Dalton House,60 Windsor Ave.,London,SW19 2RR",1956,5,51.4110547,-0.1857791,"Windsor Avenue, London, SW19 2RR, United Kingdom",,Windsor Avenue,Windsor Avenue,SW19 2RR,London Borough of Merton,Merton,,London,Greater London,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Dashwood House,69 Old Broad St.,London EC2M 1QS",1957,5,51.516884,-0.0828326,"The Ivy, 69 Old Broad Street, City of London, EC2M 1QS, United Kingdom",69,The Ivy,Old Broad Street,EC2M 1QS,,Bishopsgate,,City of London,Greater London,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Dashwood House,69,Old Broad St.,London EC2M 1NS",1958,5,51.516884,-0.0828326,"The Ivy, 69 Old Broad Street, City of London, EC2M 1QS, United Kingdom",69,The Ivy,Old Broad Street,EC2M 1QS,City of London,Bishopsgate,,City of London,Greater London,England,ENG,United Kingdom,gb,0.5103000000000001,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Dashwood House,69,Old Broad St.,London,EC2M 1NS",1959,5,51.516884,-0.0828326,"The Ivy, 69 Old Broad Street, City of London, EC2M 1QS, United Kingdom",69,The Ivy,Old Broad Street,EC2M 1QS,City of London,Bishopsgate,,City of London,Greater London,England,ENG,United Kingdom,gb,0.5103000000000001,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Davy Dr.,North West Ind. Estate,Peterlee,Co.Durham SR8 2PP",1960,5,54.7628538,-1.3635708634741854,"Peterlee Fire Station, Shotton Road, Peterlee, SR8 2FS, United Kingdom",,Peterlee Fire Station,Shotton Road,SR8 2FS,,Shotton,,Peterlee,County Durham,England,ENG,United Kingdom,gb,0.178605,1,0.35721,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Davy Dr.,North West Ind.Estate,Peterlee,Co.Durham,SR8 2PP",1961,5,54.7546695,-1.3327153,"North Blunts Community Hospital, O'Neil Drive, Peterlee, SR8 5UH, United Kingdom",,North Blunts Community Hospital,O'Neil Drive,SR8 5UH,,,,Peterlee,County Durham,England,ENG,United Kingdom,gb,0.2835,1,0.567,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Davy Dr.,North West Ind.Estate,Peterlee,County Durham,SR8 2PP",1962,5,54.836631,-1.40521,"Seaton West Moor Barn, Seaton with Slingley, SR8 2PP, United Kingdom",,,Seaton West Moor Barn,SR8 2PP,Seaton with Slingley,,DUR,Seaton with Slingley,Durham,England,ENG,United Kingdom,gb,0.05556599999999999,0.2222222222222222,0.06173999999999999,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Davy Dr.,North West Industrial Estate,Peterlee,Co.Durham SR8 2PP",1963,5,54.767962,-1.358469,"1A Mill Hill North West Industrial Estate, Shotton, SR8 2HR, United Kingdom",1A Mill Hill,,North West Industrial Estate,SR8 2HR,Peterlee Civil Parish,,DUR,Shotton,Durham,England,ENG,United Kingdom,gb,0.40163934426229503,0.7,0.7,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Davy Drive,North West Industrial Estate,Peterlee,Co.Durham SR8 2PP.",1964,5,54.767962,-1.358469,"1A Mill Hill North West Industrial Estate, Shotton, SR8 2HR, United Kingdom",1A Mill Hill,,North West Industrial Estate,SR8 2HR,Peterlee Civil Parish,,DUR,Shotton,Durham,England,ENG,United Kingdom,gb,0.2734375,0.5,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Dawson Rd.,Mount Farm Bletchley,Milton Keynes,Buckinghamshire,MK1 1AH",1965,5,52.0096017,-0.7305784,"Dawson Road, Milton Keynes, MK1 1LH, United Kingdom",,Dawson Road,Dawson Road,MK1 1LH,Bletchley and Fenny Stratford,Denbigh North,,Milton Keynes,City of Milton Keynes,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Daytona Dr.,Colthrop Lane,Thatcham,Berks.,RG13 4NN",1966,5,51.399503,-1.229348,"Colthrop Lane, Thatcham, RG13 4NN, United Kingdom",,Colthrop Lane,,RG13 4NN,Thatcham Civil Parish,,WBK,Thatcham,West Berkshire,England,ENG,United Kingdom,gb,0.2777777777777778,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Daytona Dr.,Colthrop Thatcham,Berks.,RG13 4NN",1967,5,51.397052,-1.226619,"Daytona Drive, Thatcham, RG13 4NN, United Kingdom",,,Daytona Drive,RG13 4NN,Thatcham Civil Parish,,WBK,Thatcham,West Berkshire,England,ENG,United Kingdom,gb,0.2777777777777778,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Daytona Dr.,Colthrop,Thatcham,Berks,RG13 4NN",1968,5,51.397052,-1.226619,"Daytona Drive, Thatcham, RG13 4NN, United Kingdom",,,Daytona Drive,RG13 4NN,Thatcham Civil Parish,,WBK,Thatcham,West Berkshire,England,ENG,United Kingdom,gb,0.2777777777777778,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Daytona Dr.,Colthrop,Thatcham,Berkshire RG13 4NN",1969,5,51.397052,-1.226619,"Daytona Drive, Thatcham, RG13 4NN, United Kingdom",,,Daytona Drive,RG13 4NN,Thatcham Civil Parish,,WBK,Thatcham,West Berkshire,England,ENG,United Kingdom,gb,0.45,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Daytona Drive,Colthrop Lane,Thatcham Berkshire,RG13 4NN",1970,5,51.397568,-1.228016,"Colthrop Lane, Thatcham, RG13 4NN, United Kingdom",,,Colthrop Lane,RG13 4NN,Thatcham Civil Parish,,WBK,Thatcham,West Berkshire,England,ENG,United Kingdom,gb,0.45,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Deans Ind.Estate,Livingston West Lothian,Scotland",1971,5,55.898077,-3.574097,"Deans Industrial Estate, Livingston, United Kingdom",,,Deans Industrial Estate,,,,WLN,Livingston,West Lothian,Scotland,SCT,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Deans Industrial Estate,Livingston West Lothian,Scotland",1972,5,55.8831932,-3.5149461,"Livingston, EH54 6HS, United Kingdom",,Livingston,,EH54 6HS,,,WLN,Livingston,West Lothian,Scotland,SCT,United Kingdom,gb,0,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Deganwy,Conwy,Gwynedd LL31 9PX",1973,5,53.2977924,-3.8296377,"Castell Deganwy, Conwy, LL31 9HQ, United Kingdom",,Castell Deganwy,,LL31 9HQ,,,CWY,Conwy,Conwy,Wales,WLS,United Kingdom,gb,0.22049999999999997,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Deganwy,Conwy,Gwynedd,LL31 9PX",1974,5,53.2977924,-3.8296377,"Castell Deganwy, Conwy, LL31 9HQ, United Kingdom",,Castell Deganwy,,LL31 9HQ,,,CWY,Conwy,Conwy,Wales,WLS,United Kingdom,gb,0.22049999999999997,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,Delberttie Rd.Drungans Dumfries DG2 8YA Scotland,1975,5,55.06971,-3.60959,"Dumfries, DG2 8YA, United Kingdom",,,,DG2 8YA,,,DGY,Dumfries,Dumfries and Galloway,Scotland,SCT,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Denham Court Dr.,Denham,Buckinghamshire UB9 5PG",1976,5,51.5636697,-0.4910183,"Denham Court Drive, Denham, UB9 5AU, United Kingdom",,Denham Court Drive,Denham Court Drive,UB9 5AU,"Denham, Gerrards Cross and Chalfonts Community Board",,BKM,Denham,Buckinghamshire,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Dephna House,2 Portal Way,London W3 6RT",1977,5,51.5222168,-0.2606732,"Portal Way, London, W3 6BJ, United Kingdom",,Portal Way,Portal Way,W3 6BJ,London Borough of Ealing,Park Royal,,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,Derby,1978,5,52.9212617,-1.4761491,"Derby, DE1 2AA, United Kingdom",,Derby,,DE1 2AA,,,DBY,Derby,Derbyshire,England,ENG,United Kingdom,gb,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
