original_countryname,original_AddressAlph,original_address_id,original_group,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,city,county,county_code,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
United Kingdom,"1 Churchfield Court,Robey Close,Linby,Nottingham,NG15 8AA",12,1,53.0096801,-1.1594153,"Churchfield Court, Nottingham, NG5 9JL, United Kingdom",Churchfield Court,,Churchfield Court,NG5 9JL,,Bestwood Park Estate,Nottingham,,,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Churchfield Court,Robey Close,Linby,Nottinghamshire NG15 8AA",13,1,53.0484266,-1.203144,"Churchfield Court, Ashfield, NG15 8GS, United Kingdom",Churchfield Court,,Churchfield Court,NG15 8GS,,Hucknall,Ashfield,Nottinghamshire,NTT,England,ENG,United Kingdom,gb,0.44099999999999995,0.7,0.7,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 College Hill,London EC4 4RA",14,1,51.5114441,-0.0922249,"College Hill, City of London, EC4R 2RP, United Kingdom",College Hill,,College Hill,EC4R 2RP,,Vintry,City of London,Greater London,,England,ENG,United Kingdom,gb,0.2025,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Cuba St.,Poplar London E14 8LD",15,1,51.5014238,-0.025671638766704738,"1 Cuba Street, London, E14 8FD, United Kingdom",,1,Cuba Street,E14 8FD,London Borough of Tower Hamlets,Isle of Dogs,London,Greater London,,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,1 Doverdale Studios 465 Battersea Park Rd.London SW11 4LR,16,1,51.4723013,-0.163581,"Dovedale Gardens, 465 Battersea Park Road, London, SW11 4LR, United Kingdom",Dovedale Gardens,465,Battersea Park Road,SW11 4LR,London Borough of Wandsworth,Battersea,London,Greater London,,England,ENG,United Kingdom,gb,0.5670000000000001,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Doverdale Studios 465 Battersea Park Rd.London,SW11 4LR",17,1,51.4723013,-0.163581,"Dovedale Gardens, 465 Battersea Park Road, London, SW11 4LR, United Kingdom",Dovedale Gardens,465,Battersea Park Road,SW11 4LR,London Borough of Wandsworth,Battersea,London,Greater London,,England,ENG,United Kingdom,gb,0.5670000000000001,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Doverdale Studios,465 Battersea Park Rd.,London,SW11 4LR",18,1,51.4723013,-0.163581,"Dovedale Gardens, 465 Battersea Park Road, London, SW11 4LR, United Kingdom",Dovedale Gardens,465,Battersea Park Road,SW11 4LR,London Borough of Wandsworth,Battersea,London,Greater London,,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Dukes Meadow Milboard Rd.,Bourne End Buckinghamshire SL8 5XE",19,1,51.57622,-0.71291,"Bourne End, Wooburn, SL8 5XE, United Kingdom",Bourne End,,,SL8 5XE,Wooburn,Bourne End,Wooburn,Buckinghamshire,BKM,England,ENG,United Kingdom,gb,0.25,1,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
United Kingdom,"1 Dukes Meadow Milboard Rd.,Bourne End Buckinghamshire SL8 5XF",20,1,51.57622,-0.71291,"Bourne End, Wooburn, SL8 5XF, United Kingdom",Bourne End,,,SL8 5XF,Wooburn,Bourne End,Wooburn,Buckinghamshire,BKM,England,ENG,United Kingdom,gb,0.25,1,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
United Kingdom,"1 Dunsbridge Business Park,Shepreth,Royston,Herts,SG8 6RA",21,1,52.10324435,0.04059134849038731,"Dunsbridge Business Park, South Cambridgeshire, SG8 6RA, United Kingdom",Dunsbridge Business Park,,,SG8 6RA,,Dunsbridge Business Park,South Cambridgeshire,Cambridgeshire,CAM,England,ENG,United Kingdom,gb,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Edison Rd.Churchfields Ind.Estate,Salisbury Wiltshire SP2 7NU",22,1,51.0691239,-1.8131337,"Edison Road, Salisbury, SP2 7NU, United Kingdom",Edison Road,,Edison Road,SP2 7NU,,Churchfields,Salisbury,Wiltshire,WIL,England,ENG,United Kingdom,gb,0.35721,1,0.5103000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Exchange Sq.,London EC2A 2JL",23,1,51.49885345,-0.014322495858097901,"1-2 Harbour Exchange Square, London, E14 9HE, United Kingdom",,1-2,Harbour Exchange Square,E14 9HE,London Borough of Tower Hamlets,Isle of Dogs,London,Greater London,,England,ENG,United Kingdom,gb,0.7290000000000001,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Exchange Sq.,London,EC2A 2JL",24,1,51.49885345,-0.014322495858097901,"1-2 Harbour Exchange Square, London, E14 9HE, United Kingdom",,1-2,Harbour Exchange Square,E14 9HE,London Borough of Tower Hamlets,Isle of Dogs,London,Greater London,,England,ENG,United Kingdom,gb,0.7290000000000001,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Farnham Rd.Guildford,Surrey,GU2 4RQ",25,1,51.520109,-0.130336,"United Kingdom Warehousing Association, Fitzrovia, London, ENG, United Kingdom",United Kingdom Warehousing Association,,,,Camden,Fitzrovia,London,London,,England,ENG,United Kingdom,gb,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Fetter Lane,London EC4A 1BR",26,1,51.5147459,-0.1094647,"City of London, EC4A 1BR, United Kingdom",,,,EC4A 1BR,,,City of London,Greater London,,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Furzeground Way,Stockley Park,Uxbridge,UB11 1BD",27,1,51.5080679,-0.4429519,"Heidelberg Graphic Equipment Ltd, 1 Furzeground Way, London, UB11 1BB, United Kingdom",Heidelberg Graphic Equipment Ltd,1,Furzeground Way,UB11 1BB,London Borough of Hillingdon,Stockley Park,London,Greater London,,England,ENG,United Kingdom,gb,0.44099999999999995,0.7,0.7,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Harrowden Rd.,Brackmills,Northampton NN4 0EB",28,1,52.2200758,-0.8617379,"Harrowden Road, Hardingstone, NN4 7EB, United Kingdom",Harrowden Road,,Harrowden Road,NN4 7EB,,Brackmills,Hardingstone,West Northamptonshire,,England,ENG,United Kingdom,gb,0.63,0.7,0.7,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,1 Hunt Hill Orchardton Woods Cumbernauld Scotland G68 9LF,29,1,55.94284,-4.0593899,"Cumbernauld, G68 9LF, United Kingdom",,,,G68 9LF,,,Cumbernauld,North Lanarkshire,NLK,Scotland,SCT,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Hunt Hill Orchardton Woods Cumbernauld,Scotland,G68 9LF",30,1,55.94284,-4.0593899,"Cumbernauld, G68 9LF, United Kingdom",,,,G68 9LF,,,Cumbernauld,North Lanarkshire,NLK,Scotland,SCT,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Hunt Hill Orchardton Woods,Cumbernauld,Glasgow,G68 9LF",31,1,55.94284,-4.0593899,"Cumbernauld, G68 9LF, United Kingdom",,,,G68 9LF,,,Cumbernauld,North Lanarkshire,NLK,Scotland,SCT,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Hutton Sq.,Brucefield Ind'l.PK.,Livingston West Lothian EH54 9DJ",32,1,55.8641086,-3.5311945,"Hutton Square, Livingston, EH54 9DJ, United Kingdom",Hutton Square,,Hutton Square,EH54 9DJ,,Bellsquarry,Livingston,West Lothian,WLN,Scotland,SCT,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Hutton Sqr.,Brucefield Ind'l.PK.,Livingston West Lothian EH54 9DJ",33,1,55.864106,-3.53119,"Hutton Square, Livingston, EH54 9DJ, United Kingdom",,,Hutton Square,EH54 9DJ,,,Livingston,West Lothian,WLN,Scotland,SCT,United Kingdom,gb,0.45,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 King St.,London EC2V 8AU",34,1,51.5138761,-0.0921743,"1-7 King Street, City of London, EC2V 8AU, United Kingdom",,1-7,King Street,EC2V 8AU,,Cheap,City of London,Greater London,,England,ENG,United Kingdom,gb,0.81,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 King William St.,London EC4N 7AR",35,1,51.51253,-0.08844,"City of London, EC4N 7AR, United Kingdom",,,,EC4N 7AR,,,City of London,Greater London,,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 King William St.,London,EC4N 7AF",36,1,51.51253,-0.08844,"City of London, EC4N 7AF, United Kingdom",,,,EC4N 7AF,,,City of London,Greater London,,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Kingdom St.London,W2 6BD",37,1,51.51904195,-0.18169491634138346,"One Kingdom Street, 1 Kingdom Street, London, W2 6BD, United Kingdom",One Kingdom Street,1,Kingdom Street,W2 6BD,,Paddington,London,Greater London,,England,ENG,United Kingdom,gb,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Kingsway 6th Fl.,London WC2B 6AN",38,1,51.5132905,-0.11820744702462645,"1 Kingsway, London, WC2B 6AN, United Kingdom",,1,Kingsway,WC2B 6AN,London Borough of Camden,Holborn,London,Greater London,,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Liverpool St.,London EC2M 7NH",39,1,51.51767,-0.08437,"City of London, EC2M 7NH, United Kingdom",,,,EC2M 7NH,,,City of London,Greater London,,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Liverpool St.,London,EC2M 7NH",40,1,51.51767,-0.08437,"City of London, EC2M 7NH, United Kingdom",,,,EC2M 7NH,,,City of London,Greater London,,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 London Wall Buildings,London Wall,London EC2M 5PP",41,1,51.51699,-0.08611,"City of London, EC2M 5PP, United Kingdom",,,,EC2M 5PP,,,City of London,Greater London,,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,1 London Wall London EC2Y 5AD,42,1,51.5171292,-0.0967375,"Cook's Hall, 1 London Wall, City of London, EC2Y 5BD, United Kingdom",Cook's Hall,1,London Wall,EC2Y 5BD,,Cheap,City of London,Greater London,,England,ENG,United Kingdom,gb,0.5103000000000001,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 London Wall Place,London EC2V 5AU",43,1,51.517728,-0.092081,"London Wall Place, City of London, EC2V 5DS, United Kingdom",,,London Wall Place,EC2V 5DS,City of London,Barbican,City of London,London,,England,ENG,United Kingdom,gb,0.5103,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 London Wall,London,EC2Y 5AD",44,1,51.5171292,-0.0967375,"Cook's Hall, 1 London Wall, City of London, EC2Y 5BD, United Kingdom",Cook's Hall,1,London Wall,EC2Y 5BD,,Cheap,City of London,Greater London,,England,ENG,United Kingdom,gb,0.5103000000000001,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Love Lane,London EC2V 7JN",45,1,51.51665,-0.09303,"City of London, EC2V 7JN, United Kingdom",,,,EC2V 7JN,,,City of London,Greater London,,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Millbrook Way,Colnbrook,Slough Berkshire SL3 0HE",46,1,51.4774409,-0.5139812,"Millbrook Way, Slough, SL3 0FH, United Kingdom",Millbrook Way,,Millbrook Way,SL3 0FH,,Colnbrook with Poyle,Slough,,,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 More London Place,London SE1 2AF",47,1,51.50542045,-0.08117775850256734,"Ernst & Young, 1 More London Place, London, SE1 2AF, United Kingdom",Ernst & Young,1,More London Place,SE1 2AF,London Borough of Southwark,Southwark,London,Greater London,,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Newton Close,Park Farm Ind.Estate,Wellingborough Northamptonshire NN8 6UW",48,1,52.3111987,-0.7324882,"Newton Close, Wellingborough, NN8 6UW, United Kingdom",Newton Close,,Newton Close,NN8 6UW,,Wellingborough,Wellingborough,North Northamptonshire,,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Newton Close,Park Farm Ind.Estate,Wellingborough,Northamptonshire,NN8 6UW",49,1,52.3111987,-0.7324882,"Newton Close, Wellingborough, NN8 6UW, United Kingdom",Newton Close,,Newton Close,NN8 6UW,,Wellingborough,Wellingborough,North Northamptonshire,,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Newton Close,Park Farm Industrial Estate,Wellingborough Northamptonshire NN8 3UW",50,1,52.3111987,-0.7324882,"Newton Close, Wellingborough, NN8 6UW, United Kingdom",Newton Close,,Newton Close,NN8 6UW,,Wellingborough,Wellingborough,North Northamptonshire,,England,ENG,United Kingdom,gb,0.5670000000000001,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Newton Close,Park Farm Industrial Estate,Wellingborough Northamptonshire NN8 6UW",51,1,52.3111987,-0.7324882,"Newton Close, Wellingborough, NN8 6UW, United Kingdom",Newton Close,,Newton Close,NN8 6UW,,Wellingborough,Wellingborough,North Northamptonshire,,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,1 Newtons Court Crossways Business Park Dartford Kent DA2 6QL,52,1,51.4538958,0.2565994,"Newtons Court, Dartford, DA2 6SL, United Kingdom",Newtons Court,,Newtons Court,DA2 6SL,,Stone,Dartford,Kent,KEN,England,ENG,United Kingdom,gb,0.252,1,0.4,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Newtons Court Crossways Business Park Dartford Kent,DA2 6QL",53,1,51.4538958,0.2565994,"Newtons Court, Dartford, DA2 6SL, United Kingdom",Newtons Court,,Newtons Court,DA2 6SL,,Stone,Dartford,Kent,KEN,England,ENG,United Kingdom,gb,0.252,1,0.4,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Northumber Land Ave.,London,WC2N 5BW",54,1,51.50722986666667,-0.12669393333333331,"London, WC2N 5BW, United Kingdom",,,,WC2N 5BW,,,London,Greater London,,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Park Ave.,Bushey,Hertfordshire,WD23 2DA",55,1,51.6595807,-0.3839553,"Park Avenue, Hertsmere, WD23 2DA, United Kingdom",Park Avenue,,Park Avenue,WD23 2DA,,,Hertsmere,Hertfordshire,HRT,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Quality Court,Chancery Lane,London,WC2A 1HR",56,1,51.51693,-0.11177,"City of London, WC2A 1HR, United Kingdom",,,,WC2A 1HR,,,City of London,Greater London,,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Queens Sq.,Ascott Business Park,Lyndhust Rd.,Ascot,Berkshire SL5 9FE",57,1,51.41082,-0.6748,"Sunninghill and Ascot, SL5 9FE, United Kingdom",Ascot,,,SL5 9FE,Sunninghill and Ascot,Ascot,Sunninghill and Ascot,West Berkshire,WBK,England,ENG,United Kingdom,gb,0.25,1,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
United Kingdom,"1 Ratland Court,Edinburgh EH3 8EY,Scotland",58,1,55.930116,-3.131407,"1 Almond Court, Edinburgh, EH3 8EY, United Kingdom",,1,Almond Court,EH3 8EY,,Niddrie,Edinburgh,Edinburgh,,Scotland,SCT,United Kingdom,gb,0.3857142857142857,1,0.42857142857142855,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Regent St.,London,SW1Y 4NR",59,1,51.5079653,-0.1334126,"Estiatorio Milos, 1 Regent Street St James's, London, SW1Y 4NR, United Kingdom",Estiatorio Milos,1,Regent Street St James's,SW1Y 4NR,St. James's,Covent Garden,London,Greater London,,England,ENG,United Kingdom,gb,0.81,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Roundwood Ave.,Stockley Park,Uxbridge,Middlesex UB11 1AR",60,1,51.5449509,-0.4816672,"Uxbridge, UB8 1SB, United Kingdom",Uxbridge,,,UB8 1SB,,,Uxbridge,Greater London,,England,ENG,United Kingdom,gb,0,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Royal Exchange,London EC3V 3DG",61,1,51.51348,-0.0877,"City of London, EC3V 3DG, United Kingdom",,,,EC3V 3DG,,,City of London,Greater London,,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Royal Exchange,London,EC3V 3DG",62,1,51.51348,-0.0877,"City of London, EC3V 3DG, United Kingdom",,,,EC3V 3DG,,,City of London,Greater London,,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Rutland Court,Edinburgh EH3 8EY",63,1,55.9478974,-3.2086639,"Anderson Strathern, 1 Rutland Court, City of Edinburgh, EH3 8ES, United Kingdom",Anderson Strathern,1,Rutland Court,EH3 8ES,,Haymarket,City of Edinburgh,,,Scotland,SCT,United Kingdom,gb,0.5103000000000001,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Rutland Court,Edinburgh EH3 8EY,Scotland",64,1,55.9478974,-3.2086639,"Anderson Strathern, 1 Rutland Court, City of Edinburgh, EH3 8ES, United Kingdom",Anderson Strathern,1,Rutland Court,EH3 8ES,,Haymarket,City of Edinburgh,,,Scotland,SCT,United Kingdom,gb,0.5103000000000001,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Seething Lane,London EC3N 4NH",65,1,51.5106067,-0.0793789,"Apex City of London, 1 Seething Lane, City of London, EC3N 4AX, United Kingdom",Apex City of London,1,Seething Lane,EC3N 4AX,City of London,Aldgate,City of London,Greater London,,England,ENG,United Kingdom,gb,0.5103000000000001,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Sheldon Sq.,London,W2 6TT",66,1,51.5189283,-0.1807054,"Visa Europe HQ, 1 Sheldon Square, London, W2 6TT, United Kingdom",Visa Europe HQ,1,Sheldon Square,W2 6TT,,Paddington,London,Greater London,,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Silk St.,London EC2Y 8HQ",67,1,51.520343,-0.0923418,"Linklaters, 1 Silk Street, City of London, EC2Y 8HQ, United Kingdom",Linklaters,1,Silk Street,EC2Y 8HQ,,Barbican,City of London,Greater London,,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 St.,Martin's Le Grand,London EC1A 4AS",68,1,51.5150872,-0.0971399,"St. Paul's, St. Martin's Le Grand, City of London, EC1A 4EN, United Kingdom",St. Paul's,,St. Martin's Le Grand,EC1A 4EN,,Cheap,City of London,Greater London,,England,ENG,United Kingdom,gb,0.6501891891891892,0.7,0.7,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Sterling Centre Eastern Rd.,Bracknell,Berk Shire RG12 2PW",69,1,51.41324,-0.73729,"Bracknell, RG12 2PW, United Kingdom",,,,RG12 2PW,,,Bracknell,Bracknell Forest,BRC,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Tame St.,Audenshaw,Manchester M34 5JE",70,1,53.4727189,-2.1127651,"Tameside, M34 5JE, United Kingdom",,,,M34 5JE,,,Tameside,Greater Manchester,,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 The Courtyard,76-78 High St.,Staines,Middlesex,TW18 4DP",71,1,51.4346237,-0.5099504,"Staines-upon-Thames, TW18 4DP, United Kingdom",,,,TW18 4DP,,,Staines-upon-Thames,Surrey,SRY,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 TRB Dr.,St.Asaph Business Park St.Asaph,Denbighshire LL17 0JB",72,1,53.25930855,-3.452516565065065,"St. Asaph, Denbighshire, WLS, United Kingdom",,,,,,St. Asaph,,Denbighshire,DEN,Wales,WLS,United Kingdom,gb,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,1 Undershaft London EC3A 8BR,73,1,51.5142975,-0.08160520073231234,"St. Helen's, 1 Undershaft, City of London, EC3A 6AE, United Kingdom",St. Helen's,1,Undershaft,EC3A 6AE,,Bishopsgate,City of London,Greater London,,England,ENG,United Kingdom,gb,0.5103000000000001,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,1 Vernon Court Meter Bussiness Park Cheltenham Rd.East Staverton Gloucestershire GL2 2QG,74,1,51.897557,-2.071255,"1 Vernon Court, Cheltenham, GL50 1EF, United Kingdom",,1,Vernon Court,GL50 1EF,,,Cheltenham,Gloucestershire,GLS,England,ENG,United Kingdom,gb,0.13939393939393938,0.26666666666666666,0.26666666666666666,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
